make,model,price,body_color,interior_color,interior_material,body,doors,seats,vin,fuel,transmission,drive_type,power,engine_capacity,co2_emission,emission_class,driven_distance,first_registration,condition
Audi,Q5,60 549 €,Blue,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,176,Euro 6d,15 km,7/2022,New
Fiat,Punto,5 399 €,Red,Interior color,Cloth interior,Compact,4/5 doors,5,None,Petrol,Manual,4x2,99 kW,1 368 cc,129,Euro 5,145 000 km,10/2012,1
Audi,RS3,51 249 €,Blue,Interior color,Full leather interior,Station Wagon,4/5 doors,1605,None,Petrol,Automatic,4x4,294 kW,2 480 cc,194,Euro 6d-TEMP,4 000 km,9/2020,Used
Mercedes-Benz,GLB 220,44 349 €,Red,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,128,Euro 6d-TEMP,18 468 km,6/2021,Used
BMW,330,60 649 €,Grey,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 993 cc,138,No emission class,0 km,7/2022,New
Mercedes-Benz,GLB 220,40 599 €,White,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 950 cc,114,Euro 6d-TEMP,38 000 km,11/2020,Used
Audi,SQ5,57 449 €,Black,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,255 kW,2 967 cc,180,Euro 6d-TEMP,26 223 km,5/2020,Used
BMW,220,24 449 €,Grey,Type of finish,Black interior,Full leather interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,117,Euro 6d,47 600 km,11/2019,Used
Mercedes-Benz,C 300,42 049 €,Grey,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,180 kW,1 950 cc,127,Euro 6d-TEMP,12 070 km,2/2021,Used
Volkswagen,T5 Transporter,15 449 €,White,Type of finish,Grey interior,Full leather interior,MPV/VAN,4/5 doors,9+,Diesel,Automatic,4x2,100 kW,1 968 cc,213,Euro 5,155 255 km,7/2015,1
Dodge,Charger,28 399 €,White,Interior color,Cloth interior,Coupe,4/5 doors,4,None,Petrol,Automatic,4x2,276 kW,5 654 cc,333,Euro 6,66 258 km,7/2018,2
Nissan,Navara,43 149 €,Grey,Type of finish,Grey interior,Full leather interior,Other car styles,4/5 doors,5,Diesel,Automatic,4x4,140 kW,2 298 cc,194,Euro 6d-TEMP,19 000 km,1/2022,Used
Renault,Master,23 699 €,Grey,Type of finish,Other interior color,Cloth interior,Other car styles,4/5 doors,3,Diesel,Manual,4x2,110 kW,2 299 cc,154,Euro 6d,46 400 km,8/2022,Used
Volkswagen,Amarok,15 299 €,Grey,Type of finish,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,132 kW,1 968 cc,211,Euro 5,133 500 km,9/2012,1
BMW,440,38 399 €,Black,Interior color,Full leather interior,Coupe,4/5 doors,5,1695,Petrol,Automatic,4x2,240 kW,2 993 cc,165,Euro 6d-TEMP,43 940 km,5/2019,Used
Audi,A5,44 349 €,Black,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,150 kW,1 968 cc,119,Euro 6d,4 882 km,3/2022,1
BMW,740,54 199 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,240 kW,2 998 cc,153,Euro 6,28 536 km,1/2019,1
BMW,M340i,53 099 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,157,Euro 6,29 455 km,6/2021,1
Toyota,Hilux,35 549 €,Silver,Interior color,Other interior material,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x2,108 kW,2 400 cc,259,Euro 1,50 km,7/2022,New
Nissan,Navara,21 099 €,White,Interior color,Cloth interior,Pick-up,4/5 doors,5,None,Diesel,Manual,4x4,140 kW,2 298 cc,167,Euro 5,74 545 km,7/2016,12/2022
Tesla,Model 3,40 799 €,White,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x2,239 kW,Euro 6d-TEMP,53,No,18 927 km,9/2020,1
BMW,M340i,50 999 €,White,Interior color,Alcantara interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x4,275 kW,2 998 cc,160,Euro 6d,46 176 km,1/2021,2
DFSK,Seres 3,32 049 €,Black,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,120 kW,No emission class,54,No,5 000 km,6/2022,Demonstration car
Audi,A1,21 849 €,Black,Type of finish,Brown interior,Cloth interior,Compact,4/5 doors,5,Petrol,Manual,4x2,81 kW,999 cc,124,Euro 6d,6 395 km,7/2021,Used
Dodge,RAM,58 399 €,Black,Interior color,Cloth interior,Pick-up,4/5 doors,5,None,Petrol,Automatic,4x4,295 kW,5 700 cc,317,Euro 6,0 km,6/2022,New
Dodge,Charger,39 799 €,Grey,Type of finish,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,362 kW,6 417 cc,333,Euro 6,58 000 km,8/2018,2
Jeep,Grand Cherokee,39 449 €,White,Interior color,Velour interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,184 kW,2 987 cc,208,Euro 6,43 243 km,7/2020,Used
SsangYong,MUSSO,32 599 €,Green,Type of finish,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x4,149 kW,2 157 cc,221,Euro 6d-TEMP,3 000 km,8/2022,1
Mercedes-Benz,A 220,35 149 €,Black,Interior color,Part leather interior,Sedans / saloons,4/5 doors,5,1520,Diesel,Automatic,4x2,140 kW,1 950 cc,114,Euro 6d,8 000 km,3/2022,Demonstration car
Audi,Q3,43 649 €,Orange,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,110 kW,1 498 cc,133,Euro 6d,10 km,6/2022,New
Citroen,C3 Aircross,15 799 €,White,Interior color,Other interior material,SUV / offroad,4/5 doors,5,1203,Diesel,Manual,4x2,75 kW,1 499 cc,105,No emission class,25 081 km,4/2019,Used
Honda,Jazz,6 899 €,Red,Interior color,Cloth interior,Sedans / saloons,4/5 doors,5,None,Petrol,Manual,4x2,66 kW,1 198 cc,126,Euro 5,75 200 km,2/2014,1
SsangYong,Korando,10 699 €,Green,Type of finish,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110 kW,1 998 cc,175,No emission class,92 400 km,6/2017,1
BMW,118,26 349 €,White,Interior color,Cloth interior,Sedans / saloons,4/5 doors,5,None,Diesel,Manual,4x2,110 kW,1 995 cc,115,Euro 6,18 290 km,6/2021,1
Opel,Karl,7 699 €,Blue,Type of finish,Black interior,Cloth interior,Compact,4/5 doors,5,Petrol,Manual,4x2,54 kW,999 cc,118,Euro 6d-TEMP,43 700 km,9/2018,Used
Dodge,Charger,29 399 €,Black,Interior color,Cloth interior,Sedans / saloons,4/5 doors,5,None,Petrol,Automatic,4x2,276 kW,5 654 cc,333,Euro 6,75 000 km,7/2016,2
Audi,SQ2,45 699 €,White,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,176,Euro 6d,1 100 km,2/2022,1
BMW,540,59 299 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,245 kW,2 998 cc,195,Euro 6d,19 469 km,7/2021,1
BMW,M3,59 549 €,Black,Type of finish,Other interior color,Alcantara interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,143,Euro 6,19 017 km,7/2020,Used
Jeep,Grand Cherokee,14 799 €,Black,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,184 kW,2 987 cc,199,Euro 4,145 000 km,11/2013,Used
Suzuki,SX4 S-Cross,10 799 €,Blue,Type of finish,Black interior,Full leather interior,Compact,4/5 doors,5,Petrol,Manual,4x4,88 kW,1 586 cc,130,Euro 6,144 000 km,4/2015,Used
Nissan,Primastar,23 199 €,Grey,Type of finish,Other interior color,Cloth interior,Other car styles,4/5 doors,3,Diesel,Manual,4x2,96 kW,1 997 cc,200,Euro 6d-TEMP,7 245 km,3/2022,Demonstration car
Tesla,Model Y,62 649 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x4,378 kW,No emission class,79,No,14 700 km,2/2022,1
Audi,A6,42 099 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,150 kW,1 968 cc,122,Euro 6d-TEMP,15 500 km,4/2021,Used
Mercedes-Benz,A 220,29 899 €,Grey,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,116,Euro 6d-TEMP,41 730 km,10/2019,Used
Mercedes-Benz,A 250,36 199 €,Black,Interior color,Cloth interior,Compact,4/5 doors,5,None,Hybrid,Manual,4x2,118 kW,1 332 cc,149,Euro 6d-TEMP,5 863 km,1/2022,1
MG,ZS,30 999 €,Blue,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Electric,Automatic,4x2,130 kW,2 497 cc,No emission class,51,3 156 km,6/2022,Used
BMW,330,52 049 €,Blue,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,210 kW,2 993 cc,140,Euro 6d-TEMP,15 068 km,2/2021,2
Mercedes-Benz,C 43 AMG,68 799 €,Grey,Interior color,Full leather interior,SUV / offroad,4/5 doors,5,1775,Petrol,Automatic,4x4,287 kW,2 996 cc,217,No emission class,22 863 km,1/2021,Used
BMW,M3,53 749 €,Black,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,160,Euro 6d-TEMP,59 860 km,9/2019,Used
Tesla,Model 3,42 749 €,White,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x2,239 kW,No emission class,55,No,45 000 km,3/2020,1
Audi,A6,46 849 €,White,Interior color,Cloth interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x4,210 kW,2 967 cc,155,Euro 6,66 890 km,5/2020,2
Volkswagen,Tiguan Allspace,23 599 €,White,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x2,110 kW,1 968 cc,132,Euro 6d-TEMP,124 500 km,4/2019,1
Audi,A5,44 149 €,Black,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,None,Diesel,Automatic,4x2,150 kW,1 968 cc,119,Euro 6d-TEMP,5 442 km,3/2022,1
Audi,S3,43 649 €,Blue,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,228 kW,1 984 cc,171,Euro 6d,11 099 km,10/2020,Used
Volkswagen,Golf,47 499 €,Grey,Interior color,Other interior material,Compact,4/5 doors,5,None,Hybrid,Automatic,4x2,150 kW,1 395 cc,34,Euro 6d,10 km,7/2022,New
DS Automobiles,DS9,49 949 €,Blue,Type of finish,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,165 kW,1 598 cc,33,Euro 6d,10 km,6/2022,1
BMW,X3 M40,60 099 €,White,Interior color,Full leather interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,250 kW,2 993 cc,169,Euro 6d,28 875 km,11/2021,1
Nissan,Qashqai+2,9 399 €,Black,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,7,Petrol,Manual,4x4,104 kW,1 997 cc,204,Euro 5,119 000 km,6/2012,2
Ford,Kuga,11 499 €,Black,Type of finish,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x4,103 kW,1 997 cc,140,Euro 5,111 450 km,6/2014,1
BMW,420 Gran Coupé,48 049 €,Black,Type of finish,Black interior,Cloth interior,Coupe,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 995 cc,150,Euro 6d,2 827 km,1/2022,Used
Mercedes-Benz,CLA 220,37 349 €,Black,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,121,Euro 6d-TEMP,14 941 km,11/2021,Used
Seat,Tarraco,34 199 €,Black,Type of finish,Other interior color,Velour interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110 kW,1 968 cc,120,Euro 6,25 000 km,5/2021,Used
