make,model,price,body_color,interior_color,interior_material,body,doors,seats,vin,fuel,transmission,drive_type,power,engine_capacity,co2_emission,emission_class,driven_distance,first_registration,condition
Mercedes-Benz,A 220,31 949 €,White,Interior color,Part leather interior,Sedans / saloons,4/5 doors,5,None,Diesel,Automatic,4x2,140 kW,1 950 cc,114,Euro 6d-TEMP,33 000 km,9/2019,2
BMW,M3,60 649 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,250 kW,2 993 cc,144,Euro 6,34 161 km,7/2021,Used
Fiat,Grande Punto,4 899 €,Black,Type of finish,Black interior,Cloth interior,Compact,2/3 doors,5,Petrol,Manual,4x2,48 kW,1 242 cc,139,Euro 5,78 391 km,8/2009,2
MINI,Cooper D Clubman,17 349 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,110 kW,1 995 cc,112,Euro 6,43 500 km,11/2018,1
Audi,A7,63 649 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,154,Euro 6d,25 440 km,6/2021,1
Tesla,Model 3,45 299 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x2,208 kW,Euro 6d-TEMP,60,No,9 926 km,2/2022,1
BMW,340,56 199 €,Blue,Type of finish,Beige interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,250 kW,2 993 cc,156,Euro 6d,9 603 km,3/2021,1
BMW,X1,26 749 €,Black,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,140 kW,1 995 cc,126,Euro 6d-TEMP,49 316 km,3/2019,1
BMW,M135,45 799 €,Grey,Type of finish,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,225 kW,2 979 cc,175,Euro 6d,7 200 km,5/2021,1
Audi,A7,63 649 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,154,Euro 6d,25 780 km,5/2021,Used
Audi,A6,38 399 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,170 kW,2 967 cc,151,Euro 6d-TEMP,53 284 km,4/2019,1
Mercedes-Benz,C 300,48 449 €,Blue,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,195 kW,1 993 cc,137,Euro 6d-TEMP,16 500 km,1/2022,Demonstration car
BMW,M135,41 499 €,Blue,Type of finish,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,225 kW,1 998 cc,167,Euro 6d,9 774 km,4/2021,1
BMW,320,23 399 €,Black,Interior color,Cloth interior,Station Wagon,4/5 doors,5,None,Diesel,Manual,4x2,140 kW,1 995 cc,125,Euro 6c,53 000 km,2/2019,1
Mercedes-Benz,CLA 220 Shooting Brake,37 149 €,Grey,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,140,Euro 6d,41 735 km,2/2021,1
BMW,220,26 699 €,Silver,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,121,Euro 6d-TEMP,36 400 km,5/2020,Used
BMW,340,54 199 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,163,Euro 6,28 429 km,9/2021,Used
BMW,M340i,57 949 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,188,Euro 6d,7 705 km,7/2021,Used
Audi,A7,62 399 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,150,Euro 6d,29 543 km,5/2021,2
Mercedes-Benz,GLC 400,63 699 €,Black,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,243 kW,2 925 cc,172,Euro 6d,11 545 km,4/2021,Used
Skoda,Octavia,15 299 €,White,Type of finish,Black interior,Velour interior,Station Wagon,4/5 doors,5,CNG,Automatic,4x2,96 kW,1 498 cc,96,Euro 6,45 103 km,9/2019,Used
BMW,120,32 799 €,Blue,Type of finish,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 995 cc,136,Euro 6d,14 903 km,4/2021,1
DS Automobiles,DS9,53 249 €,Blue,Type of finish,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,165 kW,1 598 cc,37,Euro 6d-TEMP,5 500 km,7/2022,1
Mercedes-Benz,A 220,32 899 €,Silver,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,118,Euro 6d-TEMP,26 921 km,6/2019,Used
Dodge,Charger,47 099 €,Silver,Interior color,Full leather interior,Sedans / saloons,4/5 doors,5,None,Petrol,Automatic,4x2,362 kW,6 424 cc,333,Euro 6,3 700 km,4/2021,1
Chevrolet,Spark,3 249 €,Green,Type of finish,Grey interior,Cloth interior,Compact,4/5 doors,5,Petrol,Manual,4x2,50 kW,995 cc,119,Euro 5,133 000 km,9/2011,3
Mercedes-Benz,CLA 220,38 399 €,Grey,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,121,Euro 6d-TEMP,21 669 km,10/2021,Used
BMW,X3 M40,44 599 €,Silver,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,260 kW,2 998 cc,206,Euro 6d-TEMP,41 341 km,8/2019,2
Seat,Arona,17 349 €,Black,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Other fuel type,Manual,4x2,66 kW,999 cc,103,Euro 6,10 950 km,7/2021,Used
Audi,Q2,28 249 €,Black,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Petrol,Automatic,4x4,140 kW,1 984 cc,146,Euro 6d-TEMP,42 999 km,3/2020,1
BMW,320,38 399 €,Black,Interior color,Cloth interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x4,140 kW,1 995 cc,130,Euro 6,27 400 km,9/2021,1
Audi,A1,24 249 €,Grey,Interior color,Cloth interior,Compact,4/5 doors,5,1200,Petrol,Automatic,4x2,70 kW,999 cc,102,Euro 6d,12 821 km,4/2021,Used
Seat,Tarraco,23 699 €,Green,Interior color,Other interior material,SUV / offroad,4/5 doors,5,1574,Petrol,Manual,4x2,110 kW,1 498 cc,132,Euro 6,37 849 km,5/2019,Used
BMW,120,35 949 €,Grey,Type of finish,Other interior color,Part leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,112,No emission class,9 000 km,4/2022,Used
BMW,M3,59 399 €,Grey,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,163,Euro 6,28 654 km,6/2021,Used
Opel,Corsa,4 699 €,White,Interior color,Other interior material,Compact,4/5 doors,5,None,Petrol,Automatic,4x2,66 kW,1 364 cc,166,Euro 4,82 000 km,9/2009,11/2022
BMW,220,15 899 €,Grey,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Manual,4x2,140 kW,1 995 cc,119,Euro 6,91 100 km,10/2016,Used
Audi,Q5,38 349 €,Silver,Type of finish,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,164,Euro 6,50 271 km,8/2018,Used
Audi,A4 Allroad,49 249 €,Black,Interior color,Other interior material,Station Wagon,4/5 doors,5,1830,Diesel,Automatic,4x4,210 kW,2 967 cc,190,Euro 6d-TEMP,8 413 km,9/2020,Used
Audi,A6,54 199 €,Beige,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,250 kW,2 995 cc,164,Euro 6d-TEMP,19 394 km,6/2020,1
BMW,M340i,54 199 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,163,Euro 6,28 429 km,9/2021,Used
Subaru,Forester,35 199 €,Green,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,110 kW,1 995 cc,154,Euro 6d,5 909 km,5/2022,Demonstration car
Jeep,Compass,11 899 €,White,Type of finish,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x4,120 kW,2 143 cc,175,Euro 5,164 490 km,6/2014,1
BMW,220,27 649 €,Blue,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,121,Euro 6d-TEMP,25 000 km,6/2019,Used
BMW,730,53 199 €,Black,Type of finish,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,195 kW,2 993 cc,148,Euro 6,45 120 km,2/2019,2
Mercedes-Benz,CLS 450,59 999 €,Grey,Type of finish,Beige interior,Full leather interior,Coupe,4/5 doors,5,Petrol,Automatic,4x4,270 kW,2 999 cc,178,Euro 6d-TEMP,20 495 km,4/2018,1
Volkswagen,Tiguan,39 499 €,Black,Type of finish,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,147 kW,1 968 cc,142,Euro 6d,16 500 km,12/2021,Used
Fiat,Tipo,15 949 €,Silver,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,88 kW,1 598 cc,116,Euro 6d-TEMP,46 800 km,11/2020,Used
Mercedes-Benz,CLA 220 Shooting Brake,39 949 €,Silver,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,116,Euro 6d,8 000 km,9/2021,Used
BMW,340,62 549 €,Blue,Type of finish,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,160,Euro 6,19 221 km,4/2021,Used
Skoda,Kodiaq,25 699 €,Grey,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110 kW,1 968 cc,129,Euro 6d-TEMP,118 800 km,3/2019,1
Tesla,Model Y,65 049 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x4,378 kW,Euro 6d-TEMP,79,No,14 836 km,2/2022,1
Mercedes-Benz,C 300,31 499 €,White,Interior color,Part leather interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x4,180 kW,1 950 cc,141,Euro 6d-TEMP,47 000 km,12/2018,09/2023
Seat,Tarraco,35 449 €,Grey,Interior color,Velour interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x2,110 kW,1 968 cc,120,Euro 6,25 000 km,7/2021,Used
Mercedes-Benz,E 450,51 049 €,Black,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,270 kW,2 996 cc,192,Euro 6d,27 650 km,8/2019,2
Suzuki,SX4,5 549 €,Silver,Type of finish,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,88 kW,1 586 cc,143,Euro 4,148 500 km,11/2010,Used
Mercedes-Benz,CLA 220 Shooting Brake,37 149 €,Silver,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,112,Euro 6d-TEMP,8 306 km,6/2020,1
Mercedes-Benz,E 400,45 699 €,White,Interior color,Cloth interior,Station Wagon,4/5 doors,5,1995,Diesel,Automatic,4x4,250 kW,2 925 cc,154,Euro 6d-TEMP,59 356 km,5/2020,Used
Dacia,Duster,5 899 €,Blue,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Petrol,Manual,4x2,77 kW,1 598 cc,185,Euro 4,157 000 km,5/2010,11/2022
Mercedes-Benz,C 180,10 899 €,Black,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,115 kW,1 595 cc,136,Euro 6,145 000 km,3/2013,2
MINI,Cooper S Clubman,17 949 €,Green,Type of finish,Black interior,Other interior material,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,141 kW,1 998 cc,147,Euro 6,61 000 km,6/2016,Used
Land Rover,Range Rover Velar,53 249 €,Silver,Interior color,Full leather interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,221 kW,2 993 cc,167,Euro 6,53 080 km,9/2017,2
BMW,135,52 449 €,White,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,225 kW,2 979 cc,194,Euro 6d-TEMP,25 300 km,4/2021,Used
Peugeot,3008,32 649 €,Grey,Type of finish,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,96 kW,1 499 cc,107,No emission class,16 344 km,2/2022,Used
Mercedes-Benz,E 220,49 499 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,143 kW,1 950 cc,120,No emission class,30 000 km,4/2021,Demonstration car
Tesla,Model 3,45 799 €,Blue,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Electric,Automatic,4x2,208 kW,Euro 6d-TEMP,60,No,7 625 km,3/2022,1
BMW,340,57 249 €,Blue,Type of finish,Beige interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,250 kW,2 993 cc,139,Euro 6d,13 988 km,6/2021,1
Audi,A4,23 099 €,Red,Interior color,Other interior material,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x4,110 kW,1 968 cc,145,Euro 6,100 136 km,7/2019,2
Audi,Q3,40 349 €,Grey,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110 kW,1 968 cc,144,Euro 6d,13 000 km,6/2022,1
Dodge,RAM,54 299 €,White,Interior color,Full leather interior,Pick-up,4/5 doors,5,None,LPG,Automatic,4x2,295 kW,5 654 cc,298,Euro 6,6 860 km,7/2019,06/2024
Maserati,Ghibli,61 449 €,Red,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,316 kW,2 979 cc,223,No emission class,28 600 km,5/2019,Used
Mercedes-Benz,CLA 220,37 899 €,Grey,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,140,Euro 6d,32 689 km,6/2021,Used
Mercedes-Benz,A 220,39 099 €,Red,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 950 cc,114,Euro 6,17 300 km,5/2021,Demonstration car
Cupra,Leon,29 599 €,Grey,Type of finish,Black interior,Alcantara interior,Station Wagon,4/5 doors,None,Petrol,Automatic,4x4,221 kW,1 984 cc,168,Euro 6d,37 950 km,6/2020,1
Audi,RS3,47 849 €,Blue,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,294 kW,2 480 cc,194,No emission class,40 356 km,7/2019,1
Mercedes-Benz,GLC 400,53 099 €,Black,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,243 kW,2 925 cc,187,Euro 6d,75 803 km,7/2020,1
Mercedes-Benz,GLC 400,55 749 €,White,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,243 kW,2 925 cc,168,No emission class,65 196 km,3/2020,1
Audi,Q5,42 599 €,Grey,Type of finish,Brown interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,162,Euro 6d-TEMP,103 758 km,2/2020,1
BMW,530,43 699 €,Blue,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,195 kW,2 993 cc,148,Euro 6,55 000 km,4/2020,2
Audi,S3,54 549 €,Grey,Type of finish,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,None,Petrol,Automatic,4x4,228 kW,1 984 cc,171,Euro 6d,9 336 km,5/2021,Used
Suzuki,Swift,6 699 €,Silver,Type of finish,Black interior,Cloth interior,Compact,4/5 doors,5,Petrol,Automatic,4x2,75 kW,1 490 cc,153,Euro 4,93 500 km,3/2009,2
Audi,A1,24 349 €,Grey,Type of finish,Black interior,Cloth interior,Compact,4/5 doors,5,Petrol,Manual,4x2,81 kW,999 cc,110,Euro 6d,3 700 km,5/2021,Used
Cupra,Ateca,34 099 €,Blue,Interior color,Alcantara interior,SUV / offroad,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,168,Euro 6d-TEMP,23 500 km,8/2020,1
Audi,SQ2,42 099 €,Grey,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,160,Euro 6,28 818 km,1/2020,1
Mercedes-Benz,GLC 400,56 399 €,Black,Type of finish,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,243 kW,2 925 cc,168,Euro 6d-TEMP,49 556 km,6/2020,1
BMW,220,33 549 €,Silver,Type of finish,Beige interior,Full leather interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 995 cc,119,Euro 6d,43 400 km,10/2021,Used
Mercedes-Benz,E 450,43 399 €,Blue,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,270 kW,2 996 cc,199,Euro 6d-TEMP,88 821 km,11/2018,1
Mercedes-Benz,A 250,33 599 €,Silver,Type of finish,Black interior,Part leather interior,Compact,4/5 doors,5,Petrol,Automatic,4x2,165 kW,1 991 cc,154,Euro 6d-TEMP,13 411 km,7/2020,2
Mercedes-Benz,C 250,27 699 €,Silver,Interior color,Cloth interior,Cabriolet,4/5 doors,5,1675,Diesel,Automatic,4x2,150 kW,2 143 cc,166,Euro 6,146 301 km,5/2018,Used
BMW,340,57 949 €,White,Interior color,Cloth interior,Sedans / saloons,4/5 doors,5,None,Diesel,Automatic,4x4,250 kW,2 993 cc,139,Euro 6d,8 199 km,7/2021,Used
Ford,Kuga,28 349 €,Grey,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,178 kW,1 999 cc,199,Euro 6,38 300 km,3/2018,1
BMW,M340i,54 799 €,Black,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,163,Euro 6d,29 214 km,8/2021,Used
Jaguar,E-Pace,40 549 €,Grey,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,221 kW,1 997 cc,203,Euro 6d-TEMP,36 000 km,3/2020,2
Cupra,Leon,29 399 €,White,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,221 kW,1 984 cc,161,Euro 6d-TEMP,18 436 km,4/2020,1
Mercedes-Benz,E 200,27 399 €,Silver,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,135 kW,1 991 cc,161,Euro 6,94 678 km,4/2018,1
BMW,340 Gran Turismo,34 149 €,Silver,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,240 kW,2 998 cc,170,Euro 6,37 359 km,4/2019,1
Volkswagen,Arteon,39 799 €,Grey,Type of finish,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,140 kW,1 984 cc,128,Euro 6,3 424 km,2/2022,1
BMW,118,31 649 €,Grey,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,110 kW,1 995 cc,115,Euro 6d,12 317 km,5/2021,1
BMW,220,38 349 €,Blue,Type of finish,Black interior,Full leather interior,Coupe,4/5 doors,5,Diesel,Automatic,4x4,140 kW,1 995 cc,119,Euro 6,6 800 km,5/2021,Used
Skoda,Karoq,21 499 €,Black,Interior color,Other interior material,SUV / offroad,4/5 doors,5,1265,Petrol,Automatic,4x2,110 kW,1 498 cc,126,No emission class,115 500 km,12/2018,Used
Mercedes-Benz,GLC 63 S AMG,58 399 €,White,Interior color,Full leather interior,SUV / offroad,4/5 doors,2,None,Petrol,Automatic,4x4,375 kW,3 982 cc,270,Euro 6,58 000 km,5/2018,1
DS Automobiles,DS9,50 499 €,Blue,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x2,165 kW,1 598 cc,37,No emission class,17 990 km,9/2021,Demonstration car
Cupra,Ateca,34 599 €,Red,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,221 kW,1 984 cc,175,Euro 6d-TEMP,21 772 km,1/2020,1
Mercedes-Benz,CLA 220 Shooting Brake,38 949 €,Black,Interior color,Part leather interior,Station Wagon,4/5 doors,5,None,Diesel,Automatic,4x2,140 kW,1 950 cc,142,Euro 6d,16 992 km,2/2021,1
DS Automobiles,DS7 Crossback,41 849 €,Grey,Interior color,Velour interior,SUV / offroad,4/5 doors,5,None,Hybrid,Automatic,4x4,221 kW,1 598 cc,34,No emission class,9 515 km,7/2021,Used
BMW,220,27 849 €,Blue,Type of finish,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Diesel,Automatic,4x2,140 kW,1 995 cc,117,Euro 6d-TEMP,42 500 km,4/2020,Used
Mercedes-Benz,A 250,32 999 €,Silver,Type of finish,Black interior,Part leather interior,Compact,4/5 doors,5,Petrol,Automatic,4x2,165 kW,1 991 cc,136,Euro 6d,17 043 km,7/2020,1
Mercedes-Benz,E 450,41 599 €,Black,Interior color,Part leather interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x4,270 kW,2 996 cc,199,Euro 6,106 861 km,2/2019,1
Audi,Q3,38 749 €,Grey,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110 kW,1 968 cc,119,Euro 6,22 800 km,3/2021,1
BMW,X1,39 999 €,Silver,Type of finish,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,162 kW,1 499 cc,132,Euro 6,750 km,12/2021,Used
Cadillac,XT4,42 099 €,Black,Type of finish,Beige interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,128 kW,1 995 cc,176,Euro 6d,6 537 km,6/2022,1
Audi,S3,45 149 €,Blue,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,228 kW,1 984 cc,171,Euro 6d,19 702 km,10/2020,1
BMW,X2,27 749 €,Black,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x2,110 kW,1 995 cc,118,Euro 6,50 790 km,9/2019,1
BMW,340,61 449 €,Blue,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,250 kW,2 993 cc,139,Euro 6d,16 262 km,5/2021,1
Subaru,Outback,32 099 €,Black,Type of finish,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,129 kW,2 498 cc,166,Euro 6d,42 353 km,10/2020,1
BMW,M340i,56 849 €,Grey,Type of finish,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,275 kW,2 998 cc,163,Euro 6,23 408 km,8/2021,Used
Cupra,Ateca,35 149 €,Blue,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,198,Euro 6,12 700 km,7/2020,1
Mercedes-Benz,C 300,41 049 €,Silver,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,180 kW,1 950 cc,130,Euro 6d,25 229 km,6/2020,Used
Mazda,CX-5,27 549 €,Black,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,143 kW,2 488 cc,162,Euro 6,49 500 km,3/2018,2
Cupra,Leon,30 349 €,Red,Interior color,Part leather interior,Station Wagon,4/5 doors,5,None,Petrol,Automatic,4x4,221 kW,1 984 cc,171,Euro 6d-TEMP,19 931 km,3/2020,1
Mercedes-Benz,A 35 AMG,55 349 €,Grey,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,225 kW,1 991 cc,169,Euro 6d-TEMP,23 900 km,6/2020,Used
Audi,A7,63 799 €,Blue,Type of finish,Grey interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,154,Euro 6d,27 928 km,5/2021,2
BMW,M135,41 499 €,Black,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,225 kW,1 998 cc,167,Euro 6d,8 700 km,4/2021,1
BMW,135,51 349 €,Black,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,225 kW,2 979 cc,194,Euro 6d-TEMP,32 800 km,4/2021,Used
Cupra,Leon,29 299 €,Black,Type of finish,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,221 kW,1 984 cc,171,Euro 6d-TEMP,28 348 km,3/2020,1
DFSK,Seres 3,33 999 €,Black,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,120 kW,Euro 6d,53,No,2 000 km,6/2022,Demonstration car
BMW,440,36 699 €,White,Type of finish,Black interior,Full leather interior,Coupe,4/5 doors,5,Petrol,Automatic,4x4,240 kW,2 998 cc,174,Euro 6,49 818 km,12/2018,Used
BMW,540,41 299 €,Blue,Type of finish,Beige interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,250 kW,2 998 cc,161,Euro 6,31 567 km,5/2019,1
Mercedes-Benz,GLC 400,55 599 €,Black,Interior color,Part leather interior,SUV / offroad,4/5 doors,5,None,Diesel,Automatic,4x4,243 kW,2 925 cc,172,Euro 6d,55 115 km,8/2020,08/2023
Mercedes-Benz,GLC 400,60 449 €,White,Type of finish,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,243 kW,2 925 cc,172,Euro 6d-TEMP,15 300 km,2/2020,1
BMW,M340i,61 649 €,Grey,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x4,250 kW,2 993 cc,139,Euro 6d,18 500 km,1/2021,1
Jeep,Wrangler,39 299 €,Black,Type of finish,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x4,209 kW,3 604 cc,273,Euro 6,37 000 km,1/2018,Used
BMW,320,41 849 €,Black,Interior color,Other interior material,Station Wagon,4/5 doors,5,1655,Diesel,Manual,4x2,140 kW,1 995 cc,135,Euro 6,10 000 km,4/2022,Demonstration car
Audi,A4 Allroad,53 249 €,Grey,Type of finish,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,210 kW,2 967 cc,150,Euro 6d-TEMP,18 251 km,5/2020,2
Audi,SQ5,59 549 €,Black,Type of finish,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,255 kW,2 967 cc,172,Euro 6d-TEMP,27 098 km,5/2020,1
